Gen,BestScore,BestWeights
1,0,"[87.1, 3.7, 29.0, 2.0, -1.6]"
2,0,"[87.1, 3.7, 29.0, 2.0, -1.6]"
3,0,"[98.9, 7.4, 13.0, 6.0, -2.6]"
4,0,"[98.9, 7.4, 13.0, 6.0, -2.6]"
5,0,"[89.9, 11.2, 15.9, 8.8, 2.0]"
6,0,"[89.9, 11.2, 15.9, 8.8, 2.0]"
7,0.9,"[96.2, 1.9, 29.2, 9.9, -3.7]"
8,1.12,"[98.7, 17.2, 16.3, 6.4, -0.5]"
9,1.09,"[90.7, 5.2, 19.3, 4.9, 5.0]"
10,1.07,"[91.7, 14.5, 25.3, 2.4, -2.1]"
11,1.03,"[91.7, 14.5, 25.3, 2.4, -2.1]"
12,1.06,"[126.0, 2.5, 24.2, 3.7, 0.3]"
13,1.01,"[91.7, 14.5, 25.3, 2.4, 11.0]"
14,1.01,"[91.7, 14.5, 25.3, 2.4, -2.1]"
15,1.01,"[91.7, 14.5, 25.3, 2.4, -2.1]"